time,block,txnIndex,txnHash,borrowRate,borrowRateMode,value,currency
1680065610,15935406,146,0x55651d223cd0b2ef80d30c53458051a6ffc12b23af663b09805711857dad6451,0.05432793987876615,2,4000000000000000000000,0xD533a949740bb3306d119CC777fa900bA034cd52
1680065680,15935436,136,0x8557918e515e4282926a7bd8fd094083db684785a6fdc6cf62344c2ffe464006,0.025112229767669428,2,1000000000000000000000,DAI
1680065690,15935440,64,0xc388a82cfd5f3fa466a1836477b8d12a95b8ac88b6bb5a1bad8418ad77f4df9c,0.023798126613138702,2,10000000000000000000000,0x4Fabb145d64652a948d72533023f6E7A623C7C53
1680065700,15935446,201,0x0b837350ccbd8d5cf33d276ca626af36f5a6914738656db352a4b1661eeefbb1,0.05450535608521551,2,225000000000000000000000,0xD533a949740bb3306d119CC777fa900bA034cd52
1680065720,15935454,193,0x130f660aeb64d48d7c0cc2e318837c40e08682001577b2a74650e1ff518a3550,0.05450536546505722,2,4445815090055865800,0xD533a949740bb3306d119CC777fa900bA034cd52
1680065980,15935565,155,0x91f66e9323d488e34049ab9199c31ca00e7f508a5f7d6358f4426731cbe97ad1,0.023304295531903222,2,5000.0,USDC
1680066030,15935585,87,0x5486f814323b73145531b5344dde2304015114cf46919b32e5157f3273aebff7,0.12598987061781722,2,500000.0,USDT
1680066080,15935603,147,0x92a575ca90dc6fb4ba08719ff5298b632212c428581e82a1c2e8dd85674724f3,0.02330358827990295,2,140.0,USDC
1680066280,15935663,130,0x39241dea4282cb4fa3443dd49c7e273a262260799d19e9701ca84103b437b2ab,0.021606741254573944,2,20000000000000000000000,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
1680066380,15935701,105,0x2fb848f7838cb66cd165ffafb3b51c47e6ebbde70f08652a68dfede7d1ec5ede,0.010857810962252601,2,10.0,WBTC
1680066420,15935718,183,0x7401b4519c539bbcd24829e98598d2b31a7cf32d3b0395a00805c5bd65a97bc0,0.025223603473269584,2,390000000000000000000000,DAI
1680066440,15935729,88,0x38c1325b1bafa0921c94e4763a7b129fc655efdb14eee2ae77986308343e083c,0.05537502603711648,2,300000.0,USDT
1680066450,15935731,63,0x3821ca86d95888f218928cf1d31aff880f7912d64faed059ea31e14604f07b76,0.023205319398325503,2,99999.0,USDC
1680066450,15935731,157,0x7d821d41d9c0b45db5ac03c9dafa54e1ac0373a8d635e9f94d8287968dd3682d,0.024084289871926432,2,50000000000000000000000,0x4Fabb145d64652a948d72533023f6E7A623C7C53
1680066540,15935768,33,0xd84bd1668cb95ba6504c271fa964086b79f5b43da44e67d840c72dcbf064ba77,0.019202083119787237,2,732383267743249,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
1680066570,15935779,115,0x26258596b60ee4b7840fe2a1488df5a8bbdcdbc6e0dd2addcc8b8b3d28a6bb02,0.1667537187171676,2,500000.0,USDT
1680066580,15935784,169,0xda54c362ad380af6a485cece3ddc996e1121002de0457a010098d662db6a680d,0.05535094650005428,2,111111000000000000000000,0xD533a949740bb3306d119CC777fa900bA034cd52
1680066670,15935823,168,0x40b1969069c0e4c01ce4941ad732fa5f32ddf3d6b606e71f2fbd2d01f3146685,0.010966074217919494,2,7.0,WBTC
